entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
MEXICO,2019,8337,192.7214825,103.9006667,7.917884615,3.4825,8.104302789
MEXICO,2020,12563,195.3895566,107.43,5.287692308,2.300833333,5.498134921
MEXICO,2021,23884,197.6804346,113.5419167,4.640769231,8.849166667,4.40541502
MEXICO,2022,6877,195.1262178,122.5075,8.278269231,8.866666667,7.656547619
MEXICO,2023,7789,196.1111824,129.2796667,11.35519231,1.993333333,11.1487251
MEXICO,2024,13098,195.9863338,135.3845833,10.85283019,6.538333333,10.89749004
MEXICO,2025,9578,198.5002088,140.5421667,8.154038462,2.839166667,8.410278884
MICHOACAN DE OCAMPO,2016,4569,173.9858831,90.12791667,4.358076923,2.350833333,4.16297619
MICHOACAN DE OCAMPO,2017,5421,181.169157,95.573,6.883076923,10.29916667,6.711513944
MICHOACAN DE OCAMPO,2018,6891,175.308083,100.2553333,7.841320755,8.175833333,7.694342629
MICHOACAN DE OCAMPO,2019,3308,178.3860339,103.9006667,7.917884615,3.4825,8.104302789
MICHOACAN DE OCAMPO,2020,2961,182.7161432,107.43,5.287692308,2.300833333,5.498134921
MICHOACAN DE OCAMPO,2021,2750,186.4712727,113.5419167,4.640769231,8.849166667,4.40541502
MICHOACAN DE OCAMPO,2022,3005,186.3193012,122.5075,8.278269231,8.866666667,7.656547619
MICHOACAN DE OCAMPO,2023,3018,190.6557323,129.2796667,11.35519231,1.993333333,11.1487251
MICHOACAN DE OCAMPO,2024,2876,191.5026078,135.3845833,10.85283019,6.538333333,10.89749004
MICHOACAN DE OCAMPO,2025,12672,174.6251184,140.5421667,8.154038462,2.839166667,8.410278884
MORELOS,2016,4331,196.2393212,90.12791667,4.358076923,2.350833333,4.16297619
MORELOS,2017,3584,197.734375,95.573,6.883076923,10.29916667,6.711513944
MORELOS,2018,3729,197.8680611,100.2553333,7.841320755,8.175833333,7.694342629
MORELOS,2019,1189,200,103.9006667,7.917884615,3.4825,8.104302789
MORELOS,2020,2040,196.4595588,107.43,5.287692308,2.300833333,5.498134921
MORELOS,2021,1991,196.0615269,113.5419167,4.640769231,8.849166667,4.40541502
MORELOS,2022,2051,200,122.5075,8.278269231,8.866666667,7.656547619
MORELOS,2023,2029,199.6895022,129.2796667,11.35519231,1.993333333,11.1487251
MORELOS,2024,1613,199.8822071,135.3845833,10.85283019,6.538333333,10.89749004
MORELOS,2025,2411,192.6636251,140.5421667,8.154038462,2.839166667,8.410278884
NAYARIT,2016,2077,180.8071738,90.12791667,4.358076923,2.350833333,4.16297619
NAYARIT,2017,2116,182.2783554,95.573,6.883076923,10.29916667,6.711513944
NAYARIT,2018,1955,193.3754476,100.2553333,7.841320755,8.175833333,7.694342629
NAYARIT,2019,2257,198.0445281,103.9006667,7.917884615,3.4825,8.104302789
NAYARIT,2020,1724,195.9892691,107.43,5.287692308,2.300833333,5.498134921
NAYARIT,2021,2071,198.4775471,113.5419167,4.640769231,8.849166667,4.40541502
NAYARIT,2022,2778,195.9447444,122.5075,8.278269231,8.866666667,7.656547619
NAYARIT,2023,1938,195.2371001,129.2796667,11.35519231,1.993333333,11.1487251
NAYARIT,2024,1526,199.4495413,135.3845833,10.85283019,6.538333333,10.89749004
NAYARIT,2025,1441,197.6828591,140.5421667,8.154038462,2.839166667,8.410278884
NUEVO LEON,2016,37216,170.8513677,90.12791667,4.358076923,2.350833333,4.16297619
NUEVO LEON,2017,33981,169.2219476,95.573,6.883076923,10.29916667,6.711513944
NUEVO LEON,2018,38714,172.0255592,100.2553333,7.841320755,8.175833333,7.694342629
NUEVO LEON,2019,26570,175.940271,103.9006667,7.917884615,3.4825,8.104302789
NUEVO LEON,2020,31382,181.0624881,107.43,5.287692308,2.300833333,5.498134921
NUEVO LEON,2021,44001,184.3840595,113.5419167,4.640769231,8.849166667,4.40541502
NUEVO LEON,2022,23888,186.441749,122.5075,8.278269231,8.866666667,7.656547619
NUEVO LEON,2023,23324,186.2132139,129.2796667,11.35519231,1.993333333,11.1487251
NUEVO LEON,2024,27698,189.196711,135.3845833,10.85283019,6.538333333,10.89749004
NUEVO LEON,2025,27432,183.6031095,140.5421667,8.154038462,2.839166667,8.410278884
OAXACA,2016,1351,180.3179127,90.12791667,4.358076923,2.350833333,4.16297619
OAXACA,2017,1633,166.62921,95.573,6.883076923,10.29916667,6.711513944
OAXACA,2018,242,200,100.2553333,7.841320755,8.175833333,7.694342629
OAXACA,2019,1204,197.8326412,103.9006667,7.917884615,3.4825,8.104302789
OAXACA,2020,516,193.3527132,107.43,5.287692308,2.300833333,5.498134921
OAXACA,2021,478,180.8410042,113.5419167,4.640769231,8.849166667,4.40541502
OAXACA,2022,602,193.0564784,122.5075,8.278269231,8.866666667,7.656547619
OAXACA,2023,521,186.1880998,129.2796667,11.35519231,1.993333333,11.1487251
OAXACA,2024,690,177.3565217,135.3845833,10.85283019,6.538333333,10.89749004
OAXACA,2025,1991,170.050226,140.5421667,8.154038462,2.839166667,8.410278884
PUEBLA,2016,11344,173.6339915,90.12791667,4.358076923,2.350833333,4.16297619
PUEBLA,2017,6788,182.9675899,95.573,6.883076923,10.29916667,6.711513944
PUEBLA,2018,8192,181.4917603,100.2553333,7.841320755,8.175833333,7.694342629
PUEBLA,2019,9730,185.7966084,103.9006667,7.917884615,3.4825,8.104302789
PUEBLA,2020,4619,187.5002165,107.43,5.287692308,2.300833333,5.498134921
PUEBLA,2021,5634,191.1495385,113.5419167,4.640769231,8.849166667,4.40541502
PUEBLA,2022,2893,193.9403733,122.5075,8.278269231,8.866666667,7.656547619
PUEBLA,2023,5295,185.7020774,129.2796667,11.35519231,1.993333333,11.1487251
PUEBLA,2024,5740,190.9545296,135.3845833,10.85283019,6.538333333,10.89749004
PUEBLA,2025,4589,187.0999128,140.5421667,8.154038462,2.839166667,8.410278884
QUERETARO,2016,11653,194.3820475,90.12791667,4.358076923,2.350833333,4.16297619
QUERETARO,2017,11416,196.8312894,95.573,6.883076923,10.29916667,6.711513944
QUERETARO,2018,10018,198.7980635,100.2553333,7.841320755,8.175833333,7.694342629
QUERETARO,2019,7700,199.6974026,103.9006667,7.917884615,3.4825,8.104302789
QUERETARO,2020,5414,198.6231068,107.43,5.287692308,2.300833333,5.498134921
QUERETARO,2021,10566,199.8363619,113.5419167,4.640769231,8.849166667,4.40541502
QUERETARO,2022,4135,199.7700121,122.5075,8.278269231,8.866666667,7.656547619
QUERETARO,2023,8024,199.9504611,129.2796667,11.35519231,1.993333333,11.1487251
QUERETARO,2024,4313,199.2980524,135.3845833,10.85283019,6.538333333,10.89749004
QUERETARO,2025,7957,193.5063466,140.5421667,8.154038462,2.839166667,8.410278884
QUINTANA ROO,2016,20765,169.3057549,90.12791667,4.358076923,2.350833333,4.16297619
QUINTANA ROO,2017,25153,180.9577188,95.573,6.883076923,10.29916667,6.711513944
QUINTANA ROO,2018,19537,179.237063,100.2553333,7.841320755,8.175833333,7.694342629
QUINTANA ROO,2019,13579,186.2033287,103.9006667,7.917884615,3.4825,8.104302789
